name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
reported/i787-keywords/compile,compile,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,,3227,4.51s,855.21us,49.56us,890.67us,103.13us,775.68us,1.36ms
reported/i787-keywords/ascii,count-spans,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,123141,2341,4.51s,1.24ms,42.84us,1.28ms,109.22us,1.18ms,1.86ms
reported/i787-keywords/unicode,count-spans,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,123141,2334,4.51s,1.25ms,41.70us,1.29ms,126.17us,1.18ms,4.05ms
reported/i787-keywords/opt-ascii,count-spans,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,123141,4615,4.51s,626.03us,27.70us,649.94us,70.70us,585.32us,2.15ms
reported/i787-keywords/opt-unicode,count-spans,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,123141,4687,4.52s,612.89us,20.82us,639.86us,88.71us,581.91us,3.40ms
reported/i988-cloudflare-compile/javascript-obfuscation,compile,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,,76519,4.62s,35.11us,380.00ns,38.04us,7.79us,34.29us,315.67us
reported/i988-cloudflare-compile/sql-injection,compile,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,,8014,4.52s,330.28us,13.69us,344.49us,36.97us,308.82us,789.57us
slow/quadratic-regex-1x,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,99,136622,4.68s,21.14us,370.00ns,21.84us,3.60us,20.73us,212.28us
slow/quadratic-regex-2x,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,198,37694,4.56s,77.31us,770.00ns,79.43us,6.93us,76.45us,270.47us
slow/quadratic-haystack-1x,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,100,269293,4.89s,10.55us,230.00ns,11.04us,2.63us,10.29us,295.59us
slow/quadratic-haystack-2x,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,200,74272,4.62s,38.95us,500.00ns,40.25us,5.72us,38.42us,322.77us
test/dot/default-new-line,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,1,1000000,1.63s,60.00ns,0.00ns,61.00ns,198.00ns,50.00ns,74.16us
test/dot/default-carriage-return,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,1,1000000,1.57s,60.00ns,0.00ns,67.00ns,223.00ns,50.00ns,92.93us
test/dot/dotall-new-line,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,1,1000000,1.63s,60.00ns,0.00ns,65.00ns,172.00ns,50.00ns,75.17us
test/dot/dotall-carriage-return,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,1,1000000,1.60s,70.00ns,10.00ns,74.00ns,322.00ns,50.00ns,119.95us
test/dot/multiline-new-line,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,1,1000000,1.58s,60.00ns,0.00ns,63.00ns,211.00ns,50.00ns,64.01us
test/dot/multiline-carriage-return,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,1,1000000,1.57s,60.00ns,0.00ns,65.00ns,299.00ns,50.00ns,124.81us
